CAS-RN,SMILES,train/test,LC50,CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP
14548-45-9,Brc1ccc(cc1)C(=O)c1cccnc1,train,4.109,2.914,0.798,0.975,0,1,2.715
14548-46-0,O=C(c1ccncc1)c1ccccc1,test,3.250,3.111,0.331,1.011,0,1,2.042
148-53-8,COc1cccc(c1O)C=O,train,4.767,2.777,0.56,1.127,1,0,1.433
14816-18-3,CCOP(=S)(ON=C(c1ccccc1)C#N)OCC,test,5.012,3.188,1.182,1.244,0,1,1.845
1482-15-1,CC(C(C#C)(O)C)C,train,2.739,3.134,0.223,1.319,0,0,1.795
1484-13-5,C=Cn1c2ccccc2c2c1cccc2,train,7.809,3.514,0.134,1.07,1,0,3.315
1484-26-0,Nc1cccc(c1)OCc1ccccc1,train,4.338,3.436,0.331,0.951,0,0,2.786
149-30-4,Sc1nc2c(s1)cccc2,train,4.182,2.217,0.872,0.875,0,0,1.769
149-31-5,CCC(C(CO)C)O,test,1.134,3.219,0.405,1.605,0,0,0.706
14938-35-3,CCCCCc1ccc(cc1)O,train,5.178,3.645,0.223,1.155,0,0,3.105
150-19-6,COc1cccc(c1)O,train,3.219,2.685,0.405,1.145,0,0,1.246
150-76-5,COc1ccc(cc1)O,train,3.110,2.685,0.405,1.145,0,0,1.246
150-78-7,COc1ccc(cc1)OC,train,3.070,2.961,0.405,1.388,0,0,1.58
15045-43-9,CC1(C)CCC(O1)(C)C,train,2.883,3.52,0.223,1.59,0,0,1.882
151-21-3,CCCCCCCCCCCCOS(=O)(=O)O,train,4.451,4.029,0.965,1.729,0,0,4.038
15128-82-2,O=N(=O)c1ncccc1O,train,2.924,1.883,0.711,1.162,0,0,0.602
1563-66-2,CNC(=O)Oc1cccc2c1OC(C2)(C)C,train,5.339,3.432,0.638,1.385,0,1,1.459
15673-00-4,NCCC(C)(C)C,train,2.226,3.369,0.134,1.614,0,0,1.587
1582-09-8,CCCN(c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O)CCC,train,6.500,3.323,1.232,1.134,0,0,4.207
15972-60-8,COCN(c1c(CC)cccc1CC)C(=O)CCl,train,4.732,3.73,0.829,1.562,0,1,3.182
16079-88-2,ClN1C(=O)N(C(C1=O)(C)C)Br,train,1.234,1.831,1.182,1.901,0,2,0.158
16245-79-7,CCCCCCCCc1ccc(cc1)N,train,6.233,4.141,0.134,1.22,0,0,4.833
1634-04-4,COC(C)(C)C,test,2.107,3.035,0.223,1.941,0,0,1.209
1638-22-8,CCCCc1ccc(cc1)O,test,4.470,3.461,0.223,1.12,0,0,2.813
1647-16-1,C=CCCCCCCC=C,train,5.678,3.867,0,1.4,2,0,3.659
16672-87-0,ClCCP(=O)(O)O,train,3.046,1.713,1.098,1.752,0,0,-0.297
16752-77-5,CNC(=O)ON=C(SC)C,train,4.920,2.441,0.88,1.54,0,2,0.057
16879-02-0,Oc1cccc(n1)Cl,test,2.782,1.634,0.713,1.19,0,0,1.313
1689-82-3,Oc1ccc(cc1)N=Nc1ccccc1,train,5.229,3.13,0.429,0.88,0,0,2.679
1689-83-4,N#Cc1cc(I)c(c(c1)I)O,train,4.737,1.886,1.153,0.523,0,0,2.938
1689-84-5,N#Cc1cc(Br)c(c(c1)Br)O,train,4.342,1.886,1.115,0.653,0,0,2.646
17109-36-3,Clc1cc(ccc1NC(=O)c1c(C)c(Cl)cc(c1O)C(C)(C)C)N(=O)=O,test,7.691,3.684,1.275,1.072,0,1,4.764
1740-19-8,OC(=O)C1(C)CCCC2(C1CCc1c2ccc(c1)C(C)C)C,train,4.727,4.461,0.405,1.139,0,1,4.548
1745-81-9,C=CCc1ccccc1O,train,3.979,3.087,0.223,0.96,1,0,2.42
1746-23-2,C=Cc1ccc(cc1)C(C)(C)C,train,5.510,3.822,0,1.125,1,0,4.044
1757-18-2,CCOP(=S)(OC(=CCl)c1cc(Cl)ccc1Cl)OCC,train,6.143,3.113,1.593,1.319,1,1,4.038
17584-12-2,Nc1nnc(c(n1)C)C,train,2.115,2.565,0.452,1.529,0,0,0.242
1761-61-1,O=Cc1cc(Br)ccc1O,test,5.189,2.217,0.845,0.793,1,0,2.429
1773-89-3,COC(=O)C1C(C(=O)OC)C2(C(C1(Cl)C(=C2Cl)Cl)(Cl)Cl)Cl,train,5.383,2.95,1.772,1.351,0,4,3.11
17754-90-4,CCN(c1ccc(c(c1)O)C=O)CC,train,4.557,3.402,0.496,1.45,1,0,2.345
17804-35-2,CCCCNC(=O)n1c(NC(=O)OC)nc2c1cccc2,train,5.184,3.618,0.842,1.686,0,2,1.661
1787-61-7,Oc1cc(c2c(c1N=Nc1ccc3c(c1O)cccc3)ccc(c2)N(=O)=O)S(=O)(=O)O,train,4.886,3.613,1.336,0.839,0,0,2.459
18172-67-3,C=C1CCC2CC1C2(C)C,train,5.434,3.739,0,1.204,0,1,3.374
1825-21-4,COc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,train,5.632,2.251,1.501,1.197,0,0,4.19
18292-97-2,O=N(=O)c1ccc(c(c1C)N(=O)=O)N(=O)=O,train,6.317,2.454,1.075,0.951,0,0,2.359
18368-63-3,Cc1cccc(n1)Cl,train,2.740,2.216,0.582,1.287,0,0,1.467
1861-40-1,CCCCN(c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O)CC,train,6.525,3.323,1.232,1.134,0,0,4.207
1871-57-4,ClCC(=C)CCl,train,5.820,2.126,0.83,1.455,0,1,2.459
1891-95-8,N#Cc1cc(Cl)c(c(c1)Cl)O,train,3.889,1.886,0.988,0.764,0,0,2.343
1912-24-9,CCNc1nc(NC(C)C)nc(n1)Cl,train,4.095,3.175,0.859,2.095,0,0,2.59
1929-73-3,CCCCOCCOC(=O)COc1ccc(cc1Cl)Cl,train,5.052,3.641,1.192,1.481,0,1,3.16
1929-82-4,Clc1cccc(n1)C(Cl)(Cl)Cl,train,4.368,2.019,1.317,1.288,0,0,2.689
19398-13-1,CC(C(=O)OCCOCCCC)Oc1cc(Cl)c(cc1Cl)Cl,test,5.568,3.709,1.371,1.478,0,1,3.909
19406-51-0,Nc1cc(N(=O)=O)c(c(c1)N(=O)=O)C,train,4.458,2.479,0.887,0.954,0,0,1.748
19549-98-5,CC(CCC(C#C)(O)C)C,test,3.458,3.559,0.223,1.36,0,0,2.446
1962-75-0,CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,train,5.667,4.05,0.693,1.381,0,2,3.618
1965-09-9,Oc1ccc(cc1)Oc1ccc(cc1)O,train,4.544,3.24,0.56,0.889,0,0,2.214
19902-04-6,OCCN(CC=C(CCC=C(C)C)C)CC=C(CCC=C(C)C)C,test,6.347,4.829,0.331,1.521,4,4,4.57
2008-58-4,NC(=O)c1c(Cl)cccc1Cl,train,2.608,2.079,0.988,0.836,0,1,2.481
2016-57-1,CCCCCCCCCCN,train,5.180,4.037,0.134,1.563,0,0,3.806
2028-63-9,CC(C#C)O,test,3.779,2.137,0.223,1.179,0,0,0.655
2032-59-9,CNC(=O)Oc1ccc(c(c1)C)N(C)C,train,5.029,3.421,0.58,1.7,0,1,1.57
2034-22-2,Brc1[nH]c(c(n1)Br)Br,train,4.697,1.279,1.327,1.284,0,0,2.2
2051-60-7,Clc1ccccc1c1ccccc1,test,4.674,3.252,0.499,0.832,0,0,4.416
2051-61-8,Clc1cccc(c1)c1ccccc1,train,4.384,3.252,0.499,0.832,0,0,4.416
206-44-0,c1ccc2c(c1)c1cccc3c1c2ccc3,train,7.346,3.739,0,0.7,0,0,4.76
20662-84-4,Cc1oc(c(n1)C)C,train,2.395,2.591,0.331,1.629,0,0,0.874
2074-67-1,OCP(=O)(CO)O,train,3.638,2.118,0.956,1.643,0,0,-2.03
2104-64-5,CCOP(=S)(c1ccccc1)Oc1ccc(cc1)N(=O)=O,test,6.540,3.274,1.214,1.011,0,0,3.311
2117-11-5,CC(CC#C)O,train,3.380,2.544,0.223,1.245,0,0,1.064
2138-22-9,Clc1ccc(c(c1)O)O,train,4.961,2.08,0.764,0.788,0,0,1.514
2150-47-2,COC(=O)c1ccc(cc1O)O,train,3.603,2.8,0.693,1.091,0,1,1.437
2163-79-3,O=C(N(C)C)NC1CC2CC1C1C2CCC1,train,3.842,3.9,0.429,1.572,0,1,2.297
21725-46-2,CCNc1nc(nc(n1)Cl)NC(C#N)(C)C,train,4.116,3.177,0.918,1.919,0,0,2.031
2176-62-7,Clc1nc(Cl)c(c(c1Cl)Cl)Cl,test,5.730,2.111,1.477,1.298,0,0,3.225
22037-97-4,CCCSCCSCCC,train,4.380,3.609,0.811,1.208,0,0,3.291
22104-62-7,CN(CC(C(=O)C)C)C,train,4.182,3.261,0.331,2.047,0,1,0.915
2212-67-1,CCSC(=O)N1CCCCCC1,train,3.841,3.38,0.702,1.527,0,1,1.579
2232-08-8,Cc1ccc(cc1)S(=O)(=O)n1cncc1,test,3.726,2.818,0.88,1.488,0,0,1.182
2234-16-4,Clc1ccc(c(c1)Cl)C(=O)C,train,4.208,2.442,0.934,0.984,0,1,3.259
2243-27-8,CCCCCCCCC#N,train,4.305,3.63,0.134,1.476,0,0,3.358
22431-62-5,O=C(C1C(C1(C)C)C=C1CCCC1)OCc1coc(c1)Cc1ccccc1,test,8.571,4.535,0.56,1.137,1,2,4.332
2245-38-7,Cc1cc2c(cc1C)cccc2C,train,4.425,3.756,0,0.964,0,0,4.23
22726-00-7,Brc1cccc(c1)C(=O)N,train,3.328,2.198,0.798,0.79,0,1,2.056
23060-14-2,CCOC(=O)CC(C(=O)OCC)S,train,3.770,3.159,0.965,1.584,0,2,1.121
23135-22-0,CNC(=O)ON=C(C(=O)N(C)C)SC,train,4.512,2.862,1.031,1.828,0,3,-0.463
23184-66-9,CCCCOCN(c1c(CC)cccc1CC)C(=O)CCl,train,5.653,4.121,0.829,1.551,0,1,3.913
2357-47-3,Nc1ccc(c(c1)C(F)(F)F)F,train,3.775,2.309,0.907,0.871,0,0,3.046
2362-61-0,OC1CCCCC1c1ccccc1,train,3.599,3.69,0.223,1.062,0,0,2.726
2370-63-0,CCOCCOC(=O)C(=C)C,train,3.757,3.282,0.56,1.749,0,2,1.117
2385-85-5,ClC12C(Cl)(Cl)C3(C4(C1(Cl)C1(C2(Cl)C3(C4(C1(Cl)Cl)Cl)Cl)Cl)Cl)Cl,test,3.623,3.465,2.171,0.888,0,0,6.515
2416-94-6,Cc1ccc(c(c1O)C)C,train,4.220,3.252,0.223,1.077,0,0,2.51
2437-25-4,CCCCCCCCCCCC#N,train,5.630,4.085,0.134,1.482,0,0,4.234
2439-77-2,COc1ccccc1C(=O)N,train,3.100,2.726,0.496,1.108,0,1,1.06
2447-79-2,Clc1ccc(c(c1)Cl)C(=O)N,train,3.298,2.079,0.988,0.836,0,1,2.481
24544-04-5,CC(c1cccc(c1N)C(C)C)C,train,4.064,3.867,0.134,1.174,0,0,3.386
2455-24-5,CC(=C)C(=O)OCC1CCCO1,train,3.691,3.33,0.56,1.555,0,2,1.042
2460-49-3,COc1cc(Cl)c(cc1O)Cl,train,4.635,2.304,1.028,1.124,0,0,2.433
2475-46-9,OCCNc1ccc(c2c1C(=O)c1ccccc1C2=O)NC,test,5.472,3.691,0.711,1.073,0,2,1.746
2495-37-6,O=C(C(=C)C)OCc1ccccc1,train,4.577,3.323,0.405,1.17,0,2,2.592
2499-95-8,CCCCCCOC(=O)C=C,train,5.147,3.501,0.405,1.585,1,1,2.27
253-52-1,c1ccc2c(c1)cnnc2,train,3.112,2.594,0.251,0.861,0,0,1.68
2536-31-4,COC(=O)C1(O)c2cc(Cl)ccc2c2c1cccc2,train,5.278,3.38,0.874,0.903,0,1,3.184
260-94-6,c1ccc2c(c1)nc1c(c2)cccc1,test,4.891,3.332,0.134,0.909,0,0,3.051
2626-83-7,CNC(=O)Oc1ccc(cc1)C(C)(C)C,test,4.320,3.578,0.496,1.406,0,1,2.391
2691-41-0,O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,test,4.295,2.857,1.421,2.282,0,0,2.357
271-89-6,c1ccc2c(c1)occ2,train,3.926,2.634,0.223,0.939,0,0,1.834
27304-13-8,ClC1C2C(C3C1(Cl)O3)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,train,8.207,2.836,1.86,1.046,0,2,4.452
275-51-4,c1ccc2c(cc1)ccc2,test,4.154,3.179,0,0.805,0,0,2.994
2759-28-6,N1CCN(CC1)Cc1ccccc1,test,3.570,3.588,0.251,1.506,0,0,1.564
280-57-9,C1CN2CCN1CC2,train,1.812,3.026,0.251,2.164,0,0,0.314
281-23-2,C1C2CC3CC1CC(C2)C3,test,5.680,3.739,0,1.161,0,0,4.431
2859-67-8,OCCCc1cccnc1,train,2.961,2.955,0.331,1.313,0,0,0.652
28689-08-9,Clc1cc(Cl)c(c(c1)N(=O)=O)N(=O)=O,train,6.720,1.844,1.275,0.804,0,0,3.109
2869-34-3,CCCCCCCCCCCCCN,test,6.484,4.395,0.134,1.546,0,0,4.651
2894-51-1,Clc1ccc(cc1)C(=O)c1ccccc1N,train,5.039,3.128,0.713,0.797,0,1,4.017
2905-69-3,COC(=O)c1cc(Cl)ccc1Cl,train,4.169,2.417,1.028,1.162,0,1,3.19
29091-05-2,CCN(c1c(cc(c(c1N(=O)=O)N)C(F)(F)F)N(=O)=O)CC,test,5.393,3.055,1.273,1.132,0,0,2.931
2921-88-2,CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,train,6.314,2.624,1.621,1.502,0,0,3.213
29232-93-7,CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,train,5.087,3.436,1.225,1.839,0,0,2.054
29553-26-2,FC(C(C(O)(C)C)(F)F)F,train,2.440,2.423,0.949,1.15,0,0,1.94
2973-76-4,COc1cc(C=O)cc(c1O)Br,train,3.588,2.548,0.947,1.051,1,0,1.66
298-00-0,COP(=S)(Oc1ccc(cc1)N(=O)=O)OC,train,4.508,2.647,1.286,1.278,0,0,1.602
298-02-2,CCSCSP(=S)(OCC)OCC,train,6.018,3.196,1.38,1.234,0,0,1.321
298-04-4,CCSCCSP(=S)(OCC)OCC,train,4.854,3.378,1.38,1.25,0,0,1.654
299-84-3,COP(=S)(Oc1cc(Cl)c(cc1Cl)Cl)OC,train,6.023,2.396,1.593,1.351,0,0,3.32
300-76-5,COP(=O)(OC(C(Br)(Cl)Cl)Br)OC,train,5.062,1.983,1.714,2.105,0,0,2.358
306-67-2,NCCCNCCCCNCCCN,train,3.463,4.086,0.452,1.843,0,0,0.37
3066-71-5,C=CC(=O)OC1CCCCC1,train,5.018,3.353,0.405,1.418,1,1,1.878
309-00-2,ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C=C2)(Cl)Cl)Cl,train,7.382,3.174,1.586,0.91,2,2,5.361
309-43-3,CCCC(C1(CC=C)C(=O)NC(=NC1=O)O)C,train,4.043,3.567,0.711,1.501,1,3,1.759
315-18-4,CNC(=O)Oc1cc(C)c(c(c1)C)N(C)C,test,4.117,3.591,0.58,1.685,0,1,1.851
3179-90-6,OCCNc1ccc(c2c1C(=O)c1c(C2=O)c(O)ccc1O)NCCO,train,3.838,3.81,1.025,1.055,0,2,0.215
3206-31-3,CCOC(=O)N(C(=O)OCC)C(=O)OCC,train,4.244,3.311,0.972,2.208,0,3,-0.165
3252-43-5,BrC(C#N)Br,train,5.558,0.667,1.03,0.906,0,0,1.064
32534-95-5,CC(C(=O)OCCCC(CCC)C)Oc1cc(Cl)c(cc1Cl)Cl,train,4.239,3.979,1.306,1.404,0,1,5.176
327-98-0,CCP(=S)(OCC)Oc1cc(Cl)c(cc1Cl)Cl,test,6.171,2.862,1.54,1.226,0,0,3.896
329-71-5,O=N(=O)c1ccc(c(c1)O)N(=O)=O,test,4.739,2.183,0.93,0.846,0,0,1.395
330-54-1,O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,train,4.215,2.74,1.04,1.603,0,1,2.646
330-93-8,Fc1ccc(cc1)Oc1ccc(cc1)F,train,5.262,3.001,0.651,0.781,0,0,4.203
3309-68-0,CCCSCSP(=S)(OCC)OCC,train,5.933,3.378,1.38,1.25,0,0,1.654
333-41-5,CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,train,4.811,3.55,1.182,1.624,0,0,2.433
3351-05-1,OS(=O)(=O)c1cccc2c1c(ccc2N=Nc1ccc(c2c1cccc2)N=Nc1cccc(c1)S(=O)(=O)O)Nc1ccccc1,train,5.190,4.311,1.496,0.964,0,0,3.522
33693-04-8,CCNc1nc(OC)nc(n1)NC(C)(C)C,train,3.656,3.587,0.675,2.108,0,0,2.527
3380-34-5,Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl,train,6.047,2.893,1.236,0.907,0,0,3.842
33820-53-0,CCCN(c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O)CCC,train,5.999,3.898,0.887,1.45,0,0,4.066
3383-96-8,COP(=S)(Oc1ccc(cc1)Sc1ccc(cc1)OP(=S)(OC)OC)OC,train,4.136,3.675,1.718,1.248,0,0,3.167
34128-01-3,OC(=O)COC(C(=O)O)CC(=O)O,test,2.069,2.817,1.012,1.521,0,3,-1.169
34274-04-9,COCCCNCc1cc(OC)c(c(c1)OC)OC,train,3.297,3.937,0.762,1.708,0,0,1.145
3428-24-8,Oc1cc(Cl)c(cc1O)Cl,train,5.303,1.965,1.028,0.762,0,0,2.116
34723-82-5,BrCC1CCCCO1,train,2.941,2.819,0.732,1.483,0,0,1.717
3481-20-7,Clc1cc(Cl)c(c(c1Cl)N)Cl,train,5.930,2.019,1.317,0.77,0,0,3.617
350-46-9,Fc1ccc(cc1)N(=O)=O,train,3.696,1.822,0.681,0.794,0,0,2.335
35367-38-5,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,train,5.860,2.928,1.131,0.908,0,2,3.508
35572-78-2,O=N(=O)c1cc(N)c(c(c1)N(=O)=O)C,train,4.119,2.479,0.887,0.954,0,0,1.748
3558-69-8,c1cc(nc(c1)c1ccccc1)c1ccccc1,test,6.038,3.793,0.134,0.93,0,0,4.054
3567-25-7,Clc1ccc(c(c1)NC(=O)Nc1ccc(c(c1)Cl)Cl)Oc1ccc(cc1S(=O)(=O)O)Cl,train,4.951,3.38,1.749,1.135,0,1,3.305
36362-09-1,CCCCCCCCCCSCCN,test,6.213,4.181,0.57,1.383,0,0,4.379
368-77-4,N#Cc1cccc(c1)C(F)(F)F,train,3.555,2.297,0.762,0.798,0,0,2.841
3687-13-6,Clc1ccc(c(c1)Cl)OS(=O)(=O)C,train,4.739,2.206,1.3,1.36,0,0,2.371
3689-24-5,CCOP(=S)(OP(=S)(OCC)OCC)OCC,train,6.258,3.407,1.548,1.653,0,0,1.145
3698-83-7,Clc1cc(Cl)c(cc1N(=O)=O)N(=O)=O,train,6.784,1.844,1.275,0.804,0,0,3.109
371-40-4,Nc1ccc(cc1)F,train,3.751,2.216,0.389,0.796,0,0,1.953
37529-30-9,CCCCCCCCCCc1ccc(cc1)N,test,6.569,4.372,0.134,1.254,0,0,5.339
37680-65-2,Clc1ccc(c(c1)c1ccccc1Cl)Cl,test,6.882,3.065,1.079,0.825,0,0,5.472
3811-73-2,Sc1cccc[n+]1[O-],train,8.132,1.786,0.702,1.081,0,0,-1.265
383-63-1,CCOC(=O)C(F)(F)F,train,1.153,1.883,0.916,1.207,0,1,1.188
385-00-2,OC(=O)c1c(F)cccc1F,train,3.360,2.11,0.773,0.773,0,1,2.57
387-45-1,O=Cc1c(F)cccc1Cl,test,4.227,1.975,0.802,0.775,1,0,2.799
3923-52-2,C#CC(c1ccccc1)(c1ccccc1)O,train,4.269,3.629,0.223,0.802,0,0,3.571
393-39-5,Fc1ccc(c(c1)C(F)(F)F)N,train,3.782,2.309,0.907,0.871,0,0,3.046
3944-76-1,CCC(C(C=O)C)C,train,3.854,3.316,0.223,1.571,1,0,1.795
39515-41-8,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)(C)C,train,8.169,4.223,0.638,1.117,0,1,3.557
39515-51-0,O=Cc1cccc(c1)Oc1ccccc1,test,5.630,3.333,0.405,0.963,1,0,2.974
39905-57-2,CCCCCCOc1ccc(cc1)N,train,4.777,3.749,0.331,1.278,0,0,2.773
4080-31-3,ClC=CC[N+]12CN3CN(C2)CN(C1)C3,train,3.903,3.351,0.797,2.456,2,0,-0.197
4097-49-8,O=N(=O)c1cc(cc(c1O)N(=O)=O)C(C)(C)C,train,5.650,3.098,0.93,1.075,0,0,2.702
4117-14-0,CCCCCCCC#CCO,train,5.159,3.734,0.223,1.374,0,0,3.661
41198-08-7,CCCSP(=O)(Oc1ccc(cc1Cl)Br)OCC,train,6.645,3.073,1.493,1.279,0,0,3.737
4151-50-2,CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,train,6.446,3.249,2.071,1.327,0,0,3.948
4170-30-3,CC=CC=O,test,4.865,2.137,0.223,1.375,3,0,0.548
4208-80-4,COc1ccc(c(c1)OC)NC=CC1=[N+](C)c2c(C1(C)C)cccc2,train,5.066,4.247,0.58,1.36,2,1,3.062
42087-80-9,COC(=O)c1ccc(cc1N(=O)=O)Cl,train,3.895,2.375,1.026,1.09,0,1,2.553
4214-79-3,Oc1ccc(cn1)Cl,train,2.056,1.634,0.713,1.19,0,0,1.313
42454-06-8,O=Cc1cc(O)ccc1N(=O)=O,train,3.601,2.309,0.762,0.845,1,0,1.091
4253-89-8,CC(SSC(C)C)C,train,4.257,3.219,0.811,1.127,0,0,2.604
4403-90-1,Cc1ccc(c(c1)S(=O)(=O)O)Nc1ccc(c2c1C(=O)c1ccccc1C2=O)Nc1ccc(cc1S(=O)(=O)O)C,train,5.002,4.205,1.512,1.046,0,2,2.11
4412-91-3,OCc1cocc1,train,2.286,2.24,0.405,1.203,0,0,-0.316
446-52-6,O=Cc1ccccc1F,train,4.960,2.233,0.46,0.789,1,0,2.206
4460-86-0,COc1cc(C=O)c(cc1OC)OC,train,3.598,3.24,0.693,1.487,1,0,1.002
447-60-9,N#Cc1ccccc1C(F)(F)F,test,3.608,2.297,0.762,0.798,0,0,2.841
454-89-7,O=Cc1cccc(c1)C(F)(F)F,train,5.277,2.374,0.811,0.817,1,0,2.841
459-59-6,CNc1ccc(cc1)F,test,3.513,2.568,0.389,1.012,0,0,2.296
464-45-9,OC1CC2C(C1(C)CC2)(C)C,test,3.387,3.734,0.223,1.282,0,0,2.502
464-49-3,O=C1CC2C(C1(C)CC2)(C)C,train,3.141,3.601,0.223,1.254,0,1,2.357
4655-34-9,CC(OC(=O)C(=C)C)C,train,3.528,3.08,0.405,1.609,0,2,1.619
470-82-6,CC12CCC(CC1)C(O2)(C)C,train,3.180,3.734,0.223,1.426,0,0,2.502
471-77-2,CC(=C1CCC2C(=C1)CCC1C2(C)CCCC1(C)C(=O)O)C,test,5.307,4.532,0.405,1.189,1,4,4.639
475-20-7,C=C1C2CCC3C1(C)CCCC(C23)(C)C,train,4.302,4.324,0,1.205,0,1,4.738
4798-44-1,CCCC(C=C)O,train,3.518,3.08,0.223,1.462,1,0,1.442
4839-46-7,OC(=O)CC(CC(=O)O)(C)C,train,1.055,3.073,0.693,1.438,0,2,0.787
4901-51-3,Clc1c(O)cc(c(c1Cl)Cl)Cl,train,5.752,1.962,1.345,0.783,0,0,3.617
4916-57-8,n1ccc(cc1)CCc1ccncc1,train,3.086,3.386,0.251,1.225,0,0,1.586
4920-77-8,O=N(=O)c1c(C)cccc1O,test,3.521,2.448,0.638,0.921,0,0,1.701
496-11-7,C1Cc2c(C1)cccc2,train,3.926,3.25,0,0.95,0,0,3.259
496-16-2,c1ccc2c(c1)OCC2,train,3.168,2.824,0.223,1.051,0,0,1.801
497-37-0,OC1CC2CC1CC2,train,2.692,3.134,0.223,1.193,0,0,1.548
498-66-8,C1CC2CC1C=C2,train,3.974,3.11,0,1.079,2,0,2.42
499-83-2,OC(=O)c1cccc(n1)C(=O)O,train,2.715,2.309,0.762,1.118,0,2,-0.129
50-06-6,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,test,2.681,3.2,0.711,1.235,0,3,0.779
50-29-3,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,train,7.429,3.337,1.443,0.913,0,0,6.166
50-31-7,Clc1ccc(c(c1Cl)C(=O)O)Cl,train,4.424,2.077,1.236,0.829,0,1,3.458
500-22-1,O=Cc1cccnc1,train,3.815,2.086,0.331,1.221,1,0,0.143
502-56-7,CCCCC(=O)CCCC,train,3.662,3.7,0.223,1.556,0,1,2.446
506-96-7,CC(=O)Br,train,3.481,0.965,0.732,1.359,0,1,0.435
51-28-5,O=N(=O)c1ccc(c(c1)N(=O)=O)O,train,4.224,2.183,0.93,0.846,0,0,1.395
51-79-6,CCOC(=O)N,test,1.231,2.031,0.496,1.952,0,1,-0.703
512-56-1,COP(=O)(OC)OC,test,1.301,2.428,0.956,2.609,0,0,0.113
51218-45-2,COCC(N(c1c(C)cccc1CC)C(=O)CCl)C,train,4.539,3.871,0.829,1.558,0,1,3.026
513-81-5,CC(=C)C(=C)C,test,4.075,3.046,0,1.333,0,2,2.352
514-10-3,CC(C1=CC2=CCC3C(C2CC1)(C)CCCC3(C)C(=O)O)C,train,5.104,4.532,0.405,1.189,2,3,4.639
52-68-6,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,train,4.513,2.238,1.513,2.078,0,0,0.489
5217-47-0,CCN1C(=O)CC(=O)N(C1=S)CC,train,1.647,2.841,0.88,1.705,0,3,0.226
52645-53-1,ClC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)Cl,train,7.640,4.031,1.113,1.106,1,2,4.579
5267-27-6,O=N(=O)c1cc(N(=O)=O)c(cc1C)N,train,4.912,2.479,0.887,0.954,0,0,1.748
527-60-6,Cc1cc(C)c(c(c1)C)O,train,4.020,3.252,0.223,1.077,0,0,2.51
528-29-0,O=N(=O)c1ccccc1N(=O)=O,train,5.449,2.094,0.827,0.86,0,0,1.886
529-19-1,N#Cc1ccccc1C,train,3.420,2.728,0.134,0.923,0,0,2.102
529-20-4,O=Cc1ccccc1C,train,3.360,2.824,0.223,1,1,0,2.102
5292-45-5,COC(=O)c1ccc(c(c1)N(=O)=O)C(=O)OC,test,4.565,2.971,0.972,1.255,0,2,2.052
532-32-1,OC(=O)c1ccccc1,train,2.474,2.477,0.405,0.876,0,1,1.7
5331-91-9,Clc1ccc2c(c1)nc(s2)S,train,4.798,1.977,1.112,0.881,0,0,2.37
534-52-1,O=N(=O)c1cc(C)c(c(c1)N(=O)=O)O,train,5.007,2.439,0.93,0.924,0,0,1.748
5372-81-6,COC(=O)c1ccc(c(c1)N)C(=O)OC,train,4.369,3.049,0.762,1.258,0,2,1.996
538-68-1,CCCCCc1ccccc1,train,4.938,3.78,0,1.182,0,0,3.854
5395-75-5,CCSCCSCC,train,3.397,3.219,0.811,1.151,0,0,2.604
54-21-7,OC(=O)c1ccccc1O,train,1.969,2.495,0.56,0.835,0,1,1.643
540-88-5,CC(=O)OC(C)(C)C,train,2.551,3.026,0.405,1.787,0,1,1.373
5407-04-5,ClCCCN(C)C,train,3.075,2.875,0.582,2.311,0,0,1.587
541-73-1,Clc1cccc(c1)Cl,train,4.263,2.126,0.83,0.899,0,0,3.478
542-75-6,ClCC=CCl,train,5.050,1.639,0.83,1.445,2,0,2.081
544-40-1,CCCCSCCCC,train,4.610,3.669,0.486,1.374,0,0,3.291
54576-32-8,CCSCCCCSCC,train,4.469,3.609,0.811,1.208,0,0,3.291
